Student_ID,Age,Gender,Department,City,Study_Hours,Attendance,Assignments_Completed,Internships,Aptitude_Score,CGPA,Placement_Status,Expected_Salary
STU00025,22,Male,EE,Raipur,2.4,91.7,9,4,97,7.25,0,1152710.41
STU00026,19,Female,EE,Raipur,7.7,57.8,9,4,56,9.03,0,1110759.73
STU00027,19,Female,CE,Raipur,6.7,91.5,1,0,72,8.94,1,1094911.34
STU00028,19,Female,EE,Raipur,1.7,94.2,4,4,34,8.44,0,1035450.96
STU00029,23,Male,ECE,Pune,2.9,62.5,3,2,82,8.03,1,1113347.76
STU00030,18,Female,ECE,Delhi,2.6,96.2,13,5,61,7.95,1,1122737.45
STU00031,25,Female,EE,Bangalore,4.1,91.0,7,1,33,8.25,0,923846.6
STU00032,26,Female,CSE,Raipur,4.6,99.1,17,2,33,7.82,0,971640.06
STU00033,27,Female,CSE,Hyderabad,4.9,86.4,10,3,95,,1,1173150.47
STU00034,30,Male,AI&DS,Mumbai,5.8,86.0,6,2,85,7.78,1,1093823.77
STU00035,26,Male,CE,Hyderabad,3.8,70.4,12,5,67,8.2,1,1101184.01
STU00036,22,Female,AI&DS,Delhi,4.7,91.7,9,2,56,8.2,0,1031998.48
STU00037,26,Male,AI&DS,Mumbai,5.3,95.1,5,5,40,8.63,0,1101785.38
STU00038,21,Male,AI&DS,Bangalore,8.3,57.4,1,1,90,8.55,1,1155848.93
STU00039,24,Male,ECE,Bangalore,5.4,62.2,20,5,30,8.97,0,1118644.06
STU00040,26,Female,CE,Bangalore,5.2,77.9,3,3,47,8.79,0,1085957.77
STU00041,26,Female,AI&DS,Delhi,4.8,95.3,14,1,90,8.18,1,1124577.68
STU00042,22,Male,AI&DS,Delhi,5.0,85.7,7,2,72,7.98,1,1058415.22
STU00043,19,Male,CE,Pune,4.7,66.5,14,3,37,7.49,0,927214.35
STU00044,25,Male,EE,Pune,1.1,67.6,12,3,98,7.47,0,1121213.23
STU00045,25,Female,CE,Hyderabad,1.3,66.8,12,5,51,7.96,0,1106754.16
STU00046,28,Female,EE,Pune,1.2,82.1,4,3,53,6.67,0,905510.39
STU00047,22,Male,ECE,Delhi,8.5,73.5,17,0,74,,1,980861.84
STU00048,18,Male,CE,Hyderabad,6.6,61.9,15,5,44,8.74,0,1077996.45
STU00049,29,Female,ME,Bangalore,7.5,88.9,5,2,43,9.08,0,1098288.72
STU00050,21,Male,EE,Hyderabad,1.7,84.5,20,1,43,7.58,0,890558.27
STU00051,24,Female,AI&DS,Delhi,7.0,53.4,20,2,31,8.68,0,1019633.09
STU00052,24,Female,ECE,Raipur,2.6,76.1,20,2,98,7.91,1,1123287.38
STU00053,22,Female,EE,Mumbai,8.9,62.2,14,4,78,8.81,1,1188230.65
STU00054,22,Male,AI&DS,Pune,8.9,85.1,8,4,31,9.55,0,1076105.64
STU00055,28,Female,CE,Hyderabad,7.4,72.4,0,0,67,7.85,1,998178.72
STU00056,23,Male,AI&DS,Hyderabad,4.8,87.3,10,2,88,7.88,1,1069540.37
STU00057,30,Female,ECE,Mumbai,7.2,59.6,15,2,97,8.45,1,1215051.06
STU00058,18,Male,CSE,Hyderabad,7.4,56.3,1,0,100,7.64,1,1105608.96
STU00059,22,Male,CE,Bangalore,5.2,72.0,5,0,62,8.45,1,1009772.92
STU00060,28,Male,CE,Pune,1.5,57.5,18,2,40,7.62,0,891445.16
STU00061,25,Male,AI&DS,Delhi,9.2,64.9,18,3,69,9.16,1,1120823.03
STU00062,22,Male,ECE,Mumbai,6.9,57.9,5,4,39,7.93,0,992251.76
STU00063,29,Male,ME,Raipur,3.5,93.0,2,5,59,9.16,0,1213582.8
STU00064,26,Female,ME,Raipur,3.0,57.4,8,1,39,6.34,0,828462.86
STU00065,25,Female,CE,Mumbai,7.2,,8,4,99,9.09,1,1232244.19
STU00066,18,Male,ME,Hyderabad,1.8,98.1,18,4,32,,0,1068028.16
STU00067,28,Male,ECE,Mumbai,5.0,63.9,18,3,92,8.73,1,1196401.04
STU00068,24,Female,CE,Raipur,7.2,64.4,12,4,34,8.62,0,1023051.72
STU00069,28,Male,EE,Hyderabad,8.8,73.1,1,1,96,8.59,1,1175844.32
STU00070,20,Male,CE,Pune,9.3,71.9,15,0,33,9.52,0,1021487.17
STU00071,19,Female,ME,Pune,3.0,92.1,3,3,45,8.28,0,987797.11
STU00072,25,Female,EE,Hyderabad,3.2,77.6,12,1,95,7.9,1,1055650.83
STU00073,22,Female,ME,Mumbai,8.4,64.1,9,4,92,9.57,1,1286254.74
STU00074,21,Female,AI&DS,Bangalore,9.8,61.9,12,1,82,8.11,1,1094270.52
STU00075,20,Female,CSE,Bangalore,5.5,51.9,16,4,72,8.6,1,1191419.04
STU00076,20,Male,EE,Bangalore,4.7,82.7,4,0,90,8.28,1,1058902.28
STU00077,26,Male,AI&DS,Raipur,4.4,65.8,15,4,34,8.2,0,981477.02
STU00078,24,Female,EE,Mumbai,9.8,,3,3,51,9.97,0,1215942.41
STU00079,24,Male,ME,Hyderabad,2.3,76.6,18,5,53,7.33,0,978296.84
STU00080,20,Male,ME,Mumbai,3.1,81.9,14,2,31,8.35,0,957525.33
STU00081,27,Female,CE,Mumbai,3.7,98.1,8,3,68,7.86,1,1046269.32
STU00082,29,Female,EE,Delhi,3.7,98.9,12,2,31,,0,976379.95
STU00083,27,Male,AI&DS,Bangalore,8.2,61.0,6,4,62,9.15,1,1190092.84
STU00084,18,Male,CE,Mumbai,3.8,72.0,18,2,46,7.03,0,879911.05
STU00085,26,Female,CSE,Delhi,5.5,63.6,5,2,91,8.69,1,1147714.14
STU00086,30,Female,AI&DS,Bangalore,9.7,93.0,12,4,76,9.23,1,1205857.46
STU00087,28,Female,CE,Delhi,3.4,69.1,20,2,43,7.81,0,950947.69
STU00088,28,Male,CSE,Delhi,1.6,,9,5,82,7.36,0,1064334.68
STU00089,26,Female,CSE,Bangalore,2.2,72.7,17,3,49,8.07,0,1033092.19
STU00090,23,Male,ME,Mumbai,3.0,72.2,7,2,42,8.26,0,973533.5
STU00091,21,Male,ECE,Hyderabad,9.7,,14,0,57,9.6,0,1098714.6
STU00092,21,Male,EE,Delhi,1.6,88.3,6,4,57,8.27,0,1055899.87
STU00093,20,Male,ECE,Mumbai,5.9,89.9,3,5,33,8.43,0,1034224.23
STU00094,18,Male,CE,Raipur,2.1,71.0,3,5,38,7.66,0,1029601.7
STU00095,29,Female,AI&DS,Raipur,8.0,93.3,16,2,88,9.4,1,1169115.06
STU00096,25,Female,ME,Hyderabad,7.4,72.2,2,2,48,7.9,0,953501.6
STU00097,26,Male,ME,Pune,3.7,75.3,13,0,44,8.0,0,937091.67
STU00098,21,Female,CSE,Raipur,4.7,91.4,12,3,42,8.15,0,984252.36
STU00099,19,Female,AI&DS,Pune,1.8,54.8,11,1,37,6.83,0,838558.64
STU00100,29,Male,EE,Hyderabad,1.5,64.4,9,2,43,7.09,0,867473.88
STU00101,23,Female,AI&DS,Mumbai,2.0,63.9,7,3,33,,0,931783.12
STU00102,23,Male,ME,Pune,4.2,59.1,4,4,81,7.14,0,1088296.91
STU00103,25,Male,EE,Pune,4.1,68.5,10,4,40,,0,1024357.99
STU00104,28,Female,CE,Bangalore,4.8,80.4,13,2,57,8.52,0,1013981.75
STU00105,22,Female,EE,Raipur,1.4,69.8,19,0,30,6.27,0,786132.41
STU00106,18,Male,ME,Bangalore,5.5,71.5,4,3,98,8.58,1,1205426.23
STU00107,18,Male,EE,Delhi,4.9,73.0,2,2,84,8.1,1,1120949.9
STU00108,30,Female,EE,Bangalore,9.5,73.0,11,0,85,9.39,1,1130531.65
STU00109,23,Male,ECE,Raipur,3.0,89.0,2,4,44,8.18,0,1005790.37
STU00110,20,Female,AI&DS,Hyderabad,3.3,58.7,4,5,39,7.23,0,997684.81
STU00111,28,Male,EE,Hyderabad,6.7,81.2,20,2,49,8.5,0,1023892.11
STU00112,19,Female,ME,Hyderabad,3.8,72.6,1,2,66,7.02,0,996025.0
STU00113,26,Male,EE,Bangalore,9.6,86.9,1,3,54,9.3,0,1128562.9
STU00114,19,Female,ME,Pune,5.5,58.6,7,5,86,9.08,1,1261806.86
STU00115,30,Male,EE,Raipur,4.0,79.9,20,5,72,7.65,1,1062450.59
STU00116,27,Female,ECE,Bangalore,7.0,95.8,9,5,80,8.82,1,1241483.4
STU00117,29,Female,ME,Delhi,8.5,86.9,16,0,84,8.88,1,1064223.05
STU00118,21,Female,CE,Delhi,10.0,57.7,9,0,94,,1,1192711.98
STU00119,27,Female,AI&DS,Pune,4.4,58.1,19,1,86,6.68,0,953829.94
STU00120,21,Female,CE,Hyderabad,5.8,65.5,15,1,77,8.2,1,1069041.94
STU00121,24,Male,EE,Raipur,9.7,90.8,19,1,62,8.67,1,1052659.07
STU00122,30,Male,ME,Raipur,2.4,72.5,16,1,85,6.55,0,995050.5
STU00123,24,Male,ECE,Raipur,5.5,61.8,2,2,58,7.16,0,989882.59
STU00124,22,Male,CE,Bangalore,9.3,73.6,4,5,90,9.46,1,1252325.12
STU00125,27,Male,CSE,Pune,5.7,55.6,9,1,68,7.08,0,919243.95
STU00126,27,Male,AI&DS,Bangalore,5.8,81.6,18,1,48,7.9,0,901156.43
STU00127,19,Male,AI&DS,Pune,5.7,,16,4,94,8.84,1,1239962.26
STU00128,23,Female,ECE,Raipur,3.3,50.8,2,2,60,7.51,1,993625.7
STU00129,23,Female,CSE,Mumbai,5.9,90.7,5,5,89,9.81,1,1324653.12
STU00130,21,Male,EE,Mumbai,1.4,60.0,1,2,69,6.87,0,1005512.27
STU00131,30,Female,ECE,Pune,1.4,82.8,8,0,77,6.91,0,923802.18
STU00132,29,Female,EE,Raipur,5.5,96.2,16,2,40,8.96,0,994692.7
STU00133,19,Female,CE,Pune,4.0,64.8,14,4,84,7.36,0,1085190.84
STU00134,22,Male,CE,Bangalore,6.8,89.6,1,0,81,8.27,1,1084709.6
STU00135,30,Female,EE,Mumbai,4.9,,7,5,76,7.88,1,1178346.71
STU00136,25,Male,ME,Hyderabad,7.9,78.7,16,2,80,,1,1101868.98
STU00137,24,Male,CSE,Delhi,9.2,55.9,8,5,87,8.71,1,1243987.72
STU00138,19,Female,ECE,Bangalore,5.1,94.9,14,0,70,8.44,1,1056154.05
STU00139,29,Male,EE,Hyderabad,9.3,81.9,11,4,58,8.96,0,1110898.04
STU00140,27,Female,ME,Hyderabad,4.3,90.2,17,1,41,7.33,0,874216.0
STU00141,19,Male,ECE,Pune,2.1,65.9,2,3,89,7.58,1,1082851.48
STU00142,26,Female,CSE,Mumbai,9.2,52.8,3,4,49,8.64,0,1054396.7
STU00143,21,Male,ECE,Bangalore,6.7,77.5,4,5,68,9.16,1,1171142.84
STU00144,27,Male,CE,Pune,7.5,80.3,18,0,33,7.81,0,918654.69
STU00145,27,Female,EE,Pune,6.8,74.9,20,4,67,9.03,1,1153609.41
STU00146,19,Female,ME,Delhi,7.2,57.9,13,3,89,7.93,1,1137066.03
STU00147,30,Female,CE,Pune,4.3,78.1,10,1,89,7.18,0,1011359.6
STU00148,21,Female,ME,Raipur,9.7,95.1,10,4,70,9.43,1,1180334.24
STU00149,19,Female,EE,Hyderabad,9.5,75.3,7,1,75,8.31,1,1042935.63
STU00150,18,Male,EE,Hyderabad,8.6,71.5,8,5,76,9.75,1,1269593.74
STU00151,22,Female,ECE,Delhi,1.7,75.2,17,2,45,6.63,0,825068.15
STU00152,27,Male,EE,Hyderabad,5.6,75.0,1,0,47,8.24,0,980596.59
STU00153,23,Female,CSE,Mumbai,2.5,99.5,9,4,73,8.23,1,1128371.41
STU00154,23,Male,AI&DS,Raipur,7.1,99.0,18,2,33,9.21,0,1012353.04
STU00155,27,Male,CSE,Pune,5.3,76.2,19,3,48,8.81,0,1048019.66
STU00156,23,Male,AI&DS,Delhi,4.8,70.6,6,3,94,8.5,1,1229052.09
STU00157,26,Female,AI&DS,Bangalore,2.9,66.3,15,4,78,7.35,0,1039318.24
STU00158,28,Female,EE,Bangalore,6.8,84.7,19,3,54,9.58,0,1131300.64
STU00159,21,Female,EE,Delhi,7.2,74.5,15,2,65,8.25,1,1062347.68
STU00160,22,Female,CE,Bangalore,1.4,97.8,2,2,86,7.86,1,1111533.85
STU00161,22,Male,ME,Mumbai,2.2,80.8,18,1,61,6.6,0,926518.42
STU00162,29,Female,ME,Bangalore,5.3,84.1,4,0,100,8.77,1,1117394.11
STU00163,21,Male,ECE,Pune,7.8,64.4,9,5,37,9.64,0,1116146.07
STU00164,20,Male,EE,Hyderabad,9.4,51.8,12,3,53,9.53,0,1192613.14
STU00165,27,Female,ECE,Raipur,2.0,99.1,9,3,99,7.97,1,1198526.0
STU00166,23,Male,ECE,Hyderabad,2.5,72.9,8,5,53,7.06,0,982511.22
STU00167,28,Male,CSE,Mumbai,9.1,91.3,16,2,41,9.24,0,1021738.51
STU00168,24,Female,EE,Delhi,3.1,87.7,10,2,31,7.45,0,874955.21
STU00169,24,Male,ME,Delhi,7.2,96.2,9,5,45,9.7,0,1230063.56
STU00170,25,Male,AI&DS,Hyderabad,7.7,80.3,13,5,100,9.94,1,1395935.05
STU00171,30,Male,ECE,Mumbai,1.7,72.3,11,0,44,6.17,0,780364.92
STU00172,26,Female,ME,Hyderabad,5.0,84.0,18,3,41,9.02,0,1064148.27
STU00173,18,Male,ME,Mumbai,6.0,83.6,9,5,32,8.76,0,1103445.32
STU00174,29,Female,EE,Pune,1.6,99.7,2,3,34,7.5,0,894998.13
STU00175,25,Female,CE,Delhi,8.8,95.3,12,0,99,8.52,1,1164628.66
STU00176,29,Male,ME,Mumbai,9.8,91.7,0,2,89,9.86,1,1260244.53
STU00177,20,Male,CSE,Hyderabad,3.5,96.9,3,0,83,8.0,1,1082623.79
STU00178,18,Male,ECE,Hyderabad,5.0,83.6,1,1,35,7.92,0,887033.93
STU00179,22,Female,EE,Mumbai,3.1,95.8,18,2,71,7.57,1,1056225.83
STU00180,18,Female,CE,Mumbai,6.0,79.6,5,5,84,8.93,1,1196088.41
STU00181,29,Female,CSE,Hyderabad,4.7,57.5,12,1,98,7.43,0,1098334.09
STU00182,24,Female,CSE,Hyderabad,9.7,77.9,4,3,61,9.04,1,1114226.3
STU00183,29,Male,ME,Delhi,8.5,52.6,12,5,35,9.52,0,1110416.33
STU00184,23,Male,ME,Delhi,3.7,95.4,6,1,45,8.38,0,1005833.07
STU00185,26,Female,EE,Delhi,3.9,64.2,14,4,75,7.55,1,1064964.46
STU00186,23,Female,ECE,Delhi,3.8,52.3,7,5,48,6.97,0,981931.16
STU00187,23,Female,ME,Delhi,3.1,78.5,7,3,100,8.04,1,1186684.66
STU00188,29,Male,CSE,Bangalore,8.2,58.5,17,3,53,9.34,0,1135413.69
STU00189,18,Female,AI&DS,Pune,7.9,70.6,20,1,38,8.87,0,949514.15
STU00190,18,Female,ECE,Raipur,1.1,77.6,0,0,97,7.18,0,1018973.81
STU00191,19,Female,ME,Hyderabad,5.7,62.0,19,4,62,8.77,1,1114332.47
STU00192,21,Male,AI&DS,Delhi,9.9,61.3,2,5,34,8.8,0,1068926.4
STU00193,19,Female,EE,Raipur,5.5,71.7,10,4,42,9.04,0,1141115.22
STU00194,19,Male,AI&DS,Pune,7.2,,17,4,34,8.17,0,1040642.76
STU00195,19,Male,CE,Bangalore,3.7,78.2,18,3,99,7.67,1,1161160.93
STU00196,23,Female,ME,Delhi,1.5,71.9,2,2,80,7.86,1,1051437.66
STU00197,23,Male,EE,Delhi,6.0,68.8,5,5,78,7.96,1,1157661.59
STU00198,24,Female,CSE,Delhi,7.4,81.7,12,2,76,8.15,1,1030519.52
STU00199,19,Female,ME,Raipur,2.7,72.4,17,4,82,7.09,0,1022161.88
STU00200,22,Female,ECE,Raipur,4.7,89.0,17,1,96,7.58,1,1057473.2
STU00201,20,Male,ME,Raipur,4.9,71.1,15,0,76,7.25,0,932659.01
STU00202,20,Male,EE,Mumbai,3.7,97.4,10,4,78,8.96,1,1183754.17
STU00203,27,Male,EE,Pune,9.5,60.0,10,1,80,9.47,1,1151744.82
STU00204,22,Female,AI&DS,Delhi,8.3,69.6,3,4,55,9.21,0,1156362.91
STU00205,25,Female,ME,Raipur,8.2,91.6,2,3,93,8.75,1,1184283.26
STU00206,25,Female,AI&DS,Hyderabad,9.9,74.0,12,4,94,,1,1387363.37
STU00207,27,Female,EE,Pune,6.7,54.2,7,5,75,7.98,1,1149667.79
STU00208,19,Female,AI&DS,Hyderabad,1.1,62.9,16,5,96,7.38,0,1172166.44
STU00209,29,Male,EE,Mumbai,5.5,67.2,0,3,43,7.84,0,1023254.75
STU00210,23,Male,AI&DS,Raipur,5.1,60.3,15,2,90,7.14,0,1063399.39
STU00211,18,Female,ECE,Pune,8.6,82.4,5,5,61,9.57,1,1228791.03
STU00212,28,Male,AI&DS,Delhi,2.7,82.0,13,3,33,8.14,0,1013509.74
STU00213,21,Male,EE,Bangalore,3.5,85.2,2,4,43,8.66,0,1075488.9
STU00214,25,Female,CE,Hyderabad,5.7,82.0,19,3,80,8.65,1,1141792.46
STU00215,19,Male,CE,Pune,7.0,65.7,7,2,44,7.86,0,980143.65
STU00216,24,Male,EE,Raipur,2.7,81.8,20,1,51,7.44,0,887229.65
STU00217,25,Male,CSE,Hyderabad,2.2,90.8,17,4,93,7.82,1,1153772.59
STU00218,18,Female,CE,Hyderabad,8.2,61.0,1,2,58,8.63,0,1031220.9
STU00219,19,Female,CSE,Bangalore,6.2,63.4,17,2,99,8.63,1,1141561.05
STU00220,28,Male,ECE,Bangalore,7.8,64.9,1,3,63,8.46,1,1122472.86
STU00221,27,Male,CE,Mumbai,7.2,93.1,19,5,84,8.88,1,1201323.5
STU00222,26,Male,ECE,Pune,3.5,76.9,10,5,67,7.83,1,1079134.31
STU00223,18,Female,ME,Delhi,9.9,93.4,4,5,46,9.69,0,1209339.48
STU00224,27,Female,AI&DS,Mumbai,6.7,81.4,12,3,39,8.97,0,1097612.51
STU00225,25,Male,CE,Pune,9.6,66.4,0,5,41,9.85,0,1181844.93
STU00226,21,Female,EE,Bangalore,9.7,91.2,15,2,71,10.07,1,1202375.52
STU00227,30,Female,ECE,Bangalore,1.4,55.0,14,0,45,7.14,0,821998.35
STU00228,20,Female,AI&DS,Mumbai,8.9,65.1,8,0,76,8.13,1,1015584.38
STU00229,29,Female,CSE,Raipur,7.3,61.7,20,0,42,7.26,0,854480.67
STU00230,29,Male,EE,Mumbai,4.1,56.0,13,5,46,7.86,0,1014694.69
STU00231,22,Female,AI&DS,Delhi,2.2,88.7,4,5,48,7.38,0,1015729.12
STU00232,28,Female,EE,Pune,7.7,96.0,19,5,86,10.17,1,1305268.8
STU00233,23,Male,AI&DS,Mumbai,8.1,62.4,20,0,61,8.36,1,1011800.79
STU00234,21,Male,ME,Bangalore,5.7,75.5,12,2,36,8.69,0,1032577.8
STU00235,27,Male,ME,Raipur,1.6,94.4,0,2,70,7.0,0,1006081.4
STU00236,18,Female,ME,Bangalore,6.3,50.7,6,0,37,8.31,0,915597.5
STU00237,24,Male,CE,Mumbai,1.7,76.8,19,1,65,6.44,0,843102.16
STU00238,24,Male,CSE,Pune,6.3,88.2,20,5,38,8.79,0,1085948.6
STU00239,19,Female,CE,Hyderabad,5.1,80.4,9,5,52,8.02,0,1093390.06
STU00240,30,Female,EE,Hyderabad,8.4,63.0,11,1,64,8.88,1,1039205.67
STU00241,19,Female,ECE,Mumbai,3.4,98.8,20,0,93,7.75,1,1035012.39
STU00242,30,Female,ME,Delhi,1.9,,3,1,95,,0,1007868.9
STU00243,20,Male,CE,Mumbai,9.4,92.9,17,5,83,9.52,1,1260426.32
STU00244,19,Female,EE,Mumbai,5.5,95.1,5,1,96,9.2,1,1244407.94
STU00245,19,Male,AI&DS,Hyderabad,6.0,50.4,6,2,68,8.19,1,1033458.4
STU00246,30,Female,CSE,Bangalore,8.2,57.5,13,0,59,,0,1002194.18
STU00247,24,Male,AI&DS,Mumbai,8.6,86.4,3,1,97,9.8,1,1241981.58
STU00248,19,Female,CSE,Hyderabad,1.4,61.6,16,3,77,6.97,0,1038389.94
STU00249,27,Female,EE,Pune,1.6,83.1,4,1,67,6.83,0,903900.89
STU00250,22,Female,ECE,Pune,3.1,97.2,4,4,43,7.77,0,967037.5
STU00251,22,Female,ECE,Raipur,5.2,,2,1,68,8.82,1,1104287.8
STU00252,29,Female,CE,Bangalore,3.2,,16,0,68,6.77,0,944667.66
STU00253,26,Female,EE,Bangalore,3.2,73.1,4,0,31,6.56,0,795896.0
STU00254,28,Male,CSE,Mumbai,9.4,54.2,18,2,39,7.97,0,911047.2
STU00255,19,Male,EE,Delhi,1.4,,5,4,85,7.92,1,1128099.87
STU00256,20,Male,EE,Pune,3.5,72.3,4,0,61,7.56,1,937689.16
STU00257,20,Female,EE,Hyderabad,4.8,82.1,16,1,99,8.46,1,1197740.36
STU00258,26,Female,CE,Mumbai,3.9,63.5,0,2,58,6.79,0,948268.94
STU00259,30,Male,ECE,Hyderabad,6.3,61.6,5,0,61,8.06,1,954452.7
STU00260,30,Male,AI&DS,Bangalore,4.5,96.8,5,1,60,8.36,1,1054421.02
STU00261,23,Male,CSE,Hyderabad,9.5,,18,1,93,9.16,1,1154355.68
STU00262,25,Male,ECE,Hyderabad,1.0,95.9,6,1,73,7.67,1,1049478.08
STU00263,29,Female,EE,Delhi,9.3,88.7,16,2,39,9.2,0,1097192.32
STU00264,20,Female,ECE,Bangalore,7.6,71.8,20,3,70,8.26,1,1142674.29
STU00265,27,Male,ECE,Hyderabad,8.3,68.9,9,1,52,8.97,0,1093478.81
STU00266,23,Female,ECE,Bangalore,9.3,98.4,7,5,43,10.74,0,1227264.34
STU00267,19,Male,AI&DS,Raipur,8.4,83.5,10,3,31,8.84,0,1000154.09
STU00268,18,Male,ECE,Pune,4.5,86.6,5,3,93,8.92,1,1202723.12
STU00269,19,Male,CE,Raipur,8.2,51.7,0,2,63,9.11,1,1075220.04
STU00270,23,Male,CSE,Mumbai,6.3,80.7,15,5,33,8.83,0,1095763.52
STU00271,21,Female,ECE,Raipur,9.8,70.5,17,5,99,,1,1288552.31
STU00272,23,Male,ME,Raipur,1.0,54.4,20,4,91,6.46,0,992373.57
STU00273,22,Male,EE,Pune,8.1,73.5,8,0,99,8.32,1,1099702.05
STU00274,25,Female,CE,Delhi,3.4,91.9,18,0,49,8.09,0,960946.85
STU00275,26,Female,CSE,Pune,1.5,69.4,16,3,98,7.51,1,1163436.14
STU00276,29,Male,ECE,Delhi,1.3,78.6,16,4,48,6.89,0,970918.88
STU00277,18,Male,CSE,Pune,4.8,99.4,13,1,48,8.87,0,1004388.64
STU00278,26,Female,CSE,Pune,4.6,66.3,8,4,88,8.74,1,1164436.38
STU00279,20,Female,ME,Bangalore,2.3,79.4,3,0,42,7.62,0,922347.53
STU00280,25,Female,AI&DS,Delhi,6.1,73.7,5,2,81,,1,1072265.53
STU00281,18,Male,ECE,Delhi,7.7,96.0,11,0,73,9.35,1,1097305.5
STU00282,22,Female,AI&DS,Pune,9.8,72.2,10,2,83,9.36,1,1156728.69
STU00283,30,Male,ECE,Delhi,5.6,68.7,1,4,50,7.68,0,1035356.94
STU00284,21,Male,AI&DS,Raipur,8.5,62.5,14,0,76,8.7,1,1051397.75
STU00285,21,Male,EE,Raipur,4.4,79.7,5,3,100,7.9,1,1123351.36
STU00286,24,Male,ME,Delhi,1.4,92.7,6,1,58,,0,937108.36
STU00287,28,Female,ME,Mumbai,2.6,90.0,7,2,69,8.09,1,1075136.82
STU00288,21,Female,EE,Bangalore,5.2,83.9,19,3,43,7.64,0,1015142.94
STU00289,19,Female,ECE,Delhi,5.3,66.8,8,5,71,8.99,1,1183314.69
STU00290,26,Female,ME,Pune,7.9,95.0,19,3,70,9.61,1,1225928.32
STU00291,24,Female,CE,Mumbai,7.6,79.2,18,1,73,9.0,1,1086236.32
STU00292,20,Male,AI&DS,Mumbai,8.6,93.8,5,2,42,9.28,0,1092491.89
STU00293,28,Male,AI&DS,Hyderabad,1.8,67.8,9,3,72,7.05,0,1013557.07
STU00294,27,Male,ECE,Delhi,9.5,53.6,6,4,45,9.63,0,1143566.92
STU00295,23,Male,EE,Bangalore,4.7,78.5,14,1,70,8.47,1,1030635.68
STU00296,18,Female,ME,Pune,1.0,63.7,5,4,50,7.11,0,995156.92
STU00297,25,Male,AI&DS,Raipur,4.4,51.9,6,5,77,8.61,1,1234000.64
STU00298,28,Male,EE,Mumbai,7.6,61.3,11,2,46,7.79,0,961533.65
STU00299,25,Female,CSE,Delhi,7.6,79.8,10,3,47,8.69,0,1101338.38
STU00300,21,Female,CE,Hyderabad,7.5,56.6,0,4,94,,1,1165059.15
STU00301,18,Female,ME,Bangalore,6.3,52.4,3,5,32,7.65,0,944578.98
STU00302,20,Male,ME,Raipur,2.8,84.3,0,2,83,7.94,1,1100448.3
STU00303,26,Male,EE,Bangalore,7.5,55.9,3,0,93,7.51,1,999774.94
STU00304,24,Female,ECE,Raipur,3.7,52.0,15,1,91,6.84,0,945473.8
STU00305,30,Male,CSE,Mumbai,5.6,86.2,3,2,59,8.35,0,1092729.1
STU00306,23,Female,CE,Mumbai,8.2,65.6,3,0,35,7.58,0,825239.44
STU00307,29,Female,ME,Bangalore,1.8,90.7,5,0,81,7.1,0,956653.87
STU00308,30,Male,CE,Pune,2.5,56.6,1,1,43,6.77,0,854675.03
STU00309,30,Female,CSE,Bangalore,4.2,,4,3,92,6.91,0,1044928.43
